Typ;Type;Name;Latitude;Longitude;Tempolimit;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details;Altitude (m);Roadgrade (%)
Routenpunkt (Way);T;Weinheimer Straße;49.485759;8.7967836;30.0;;;;;;Original OSM;256.0;0.0
Haltestelle;W;Heiligkreuzsteinach, Schule;49.485759;8.7967836;30.0;20:15:00;20:15:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446.0;Original GTFS (Snap-Distanz 107m) | Auf Route gesnappt (87m);256.0;0.0
Routenpunkt (Way);T;;49.4856662725;8.79685515125;30.0;;;;;;Interpoliert (15m);256.0;0.0
Routenpunkt (Way);T;;49.485573545;8.796926702499999;30.0;;;;;;Interpoliert (15m);256.0;-1.39
Routenpunkt (Way);T;;49.4854808175;8.796998253749997;30.0;;;;;;Interpoliert (15m);256.0;-2.62
Routenpunkt (Way);T;Weinheimer Straße;49.48538809;8.797069804999998;30.0;;;;;;Original OSM;255.2;-3.85
Routenpunkt (Way);T;;49.485273456785706;8.797035703749998;30.0;;;;;;Interpoliert (15m);254.4;-5.08
Routenpunkt (Way);T;;49.48515882357143;8.7970016025;30.0;;;;;;Interpoliert (15m);253.6;-6.32
Routenpunkt (Way);T;;49.48504419035714;8.79696750125;30.0;;;;;;Interpoliert (15m);252.8;-6.3
Routenpunkt (Way);T;Weinheimer Straße;49.48492955714285;8.7969334;30.0;;;;;;Original OSM;252.0;-7.43
Haltestelle;W;Heiligkreuzsteinach, Marktpl.;49.4848342;8.7968666;30.0;20:16:00;20:16:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446.0;Original GTFS (Snap-Distanz 5m) | Auf Route gesnappt (5m);251.2;-7.64
Routenpunkt (Way);T;Weinheimer Straße;49.484777;8.796834559999999;30.0;;;;;;Original OSM;250.4;-7.67
Routenpunkt (Way);T;;49.48467715833334;8.796826396666667;30.0;;;;;;Interpoliert (15m);249.6;-7.54
Routenpunkt (Way);T;Schönauer Straße;49.48457731666667;8.796818233333333;30.0;;;;;;Original OSM;248.9;-6.01
Routenpunkt (Way);T;;49.484468868596494;8.796870847719298;30.0;;;;;;Interpoliert (15m);248.2;-3.49
Routenpunkt (Way);T;;49.48436042052632;8.796923462105262;30.0;;;;;;Interpoliert (15m);248.3;-1.89
Routenpunkt (Way);T;;49.48425197245614;8.796976076491228;30.0;;;;;;Interpoliert (15m);248.4;-0.47
Routenpunkt (Way);T;;49.48414352438597;8.797028690877193;30.0;;;;;;Interpoliert (15m);248.5;0.79
Routenpunkt (Way);T;Schönauer Straße;49.48403507631579;8.797081305263157;30.0;;;;;;Original OSM;248.6;1.4
Routenpunkt (Way);T;;49.48392727438597;8.797012430877192;30.0;;;;;;Interpoliert (15m);248.7;1.24
Routenpunkt (Way);T;;49.48381947245614;8.796943556491227;30.0;;;;;;Interpoliert (15m);249.2;1.08
Routenpunkt (Way);T;;49.48371167052632;8.796874682105264;30.0;;;;;;Interpoliert (15m);249.2;0.77
Routenpunkt (Way);T;;49.48360386859649;8.796805807719299;30.0;;;;;;Interpoliert (15m);249.2;0.43
Routenpunkt (Way);T;Schönauer Straße;49.48349606666667;8.796736933333333;30.0;;;;;;Interpoliert;249.1;-0.48
Routenpunkt (Way);T;Schönauer Straße;49.48341983333333;8.796648766666666;30.0;;;;;;Interpoliert;249.0;-0.62
Routenpunkt (Way);T;;49.48332007124999;8.796519343749999;30.0;;;;;;Interpoliert (15m);248.9;0.07
Routenpunkt (Way);T;;49.48322030916666;8.796389920833331;30.0;;;;;;Interpoliert (15m);248.8;0.91
Routenpunkt (Way);T;;49.48312054708333;8.796260497916665;30.0;;;;;;Interpoliert (15m);249.3;1.84
Routenpunkt (Way);T;Schönauer Straße;49.483020785;8.796131074999998;30.0;;;;;;Original OSM;249.8;0.21
Routenpunkt (Way);T;;49.48291965666666;8.796025683333331;30.0;;;;;;Interpoliert (15m);250.3;-0.68
Routenpunkt (Way);T;;49.48281852833333;8.795920291666667;30.0;;;;;;Interpoliert (15m);249.1;-3.15
Routenpunkt (Way);T;Schönauer Straße;49.4827174;8.7958149;30.0;;;;;;Original OSM;248.4;-5.62
Routenpunkt (Way);T;;49.482650425;8.79577945;30.0;;;;;;Interpoliert (15m);247.7;-7.74
Routenpunkt (Way);T;Schönauer Straße;49.48258345;8.795744;30.0;;;;;;Original OSM;247.0;-7.35
Routenpunkt (Way);T;;49.482494466666665;8.795713925;30.0;;;;;;Interpoliert (15m);246.3;-7.7
Routenpunkt (Way);T;;49.48240548333333;8.79568385;30.0;;;;;;Interpoliert (15m);245.6;-8.19
Routenpunkt (Way);T;Schönauer Straße;49.4823165;8.795653775;30.0;;;;;;Original OSM;244.9;-9.02
Routenpunkt (Way);T;;49.482213188888885;8.79565795;30.0;;;;;;Interpoliert (15m);243.6;-10.25
Routenpunkt (Way);T;;49.48210987777777;8.795662125;30.0;;;;;;Interpoliert (15m);242.1;-9.18
Routenpunkt (Way);T;Schönauer Straße;49.48200656666666;8.7956663;30.0;;;;;;Original OSM;240.6;-8.1
Routenpunkt (Way);T;;49.48189077777777;8.795675193939394;30.0;;;;;;Interpoliert (15m);240.4;-6.15
Routenpunkt (Way);T;;49.48177498888889;8.795684087878787;30.0;;;;;;Interpoliert (15m);240.2;-3.83
Routenpunkt (Way);T;Unbekannt;49.4816592;8.79569298181818;50.0;;;;;;Original OSM;240.0;-1.52
Routenpunkt (Way);T;;49.48154764444444;8.79561402121212;50.0;;;;;;Interpoliert (15m);239.8;-1.5
Routenpunkt (Way);T;;49.48143608888888;8.79553506060606;50.0;;;;;;Interpoliert (15m);239.6;-0.72
Routenpunkt (Way);T;Unbekannt;49.48132453333333;8.7954561;;;;;;;Interpoliert;239.4;0.07
Routenpunkt (Way);T;Unbekannt;49.48123236666667;8.7953523;;;;;;;Interpoliert;239.7;0.05
Routenpunkt (Way);T;Unbekannt;49.4811402;8.7952485;;;;;;;Original OSM;240.0;0.06
Routenpunkt (Way);T;Unbekannt;49.4810348;8.7951685;;;;;;;Original OSM;239.8;0.04
Routenpunkt (Way);T;Unbekannt;49.4809173;8.7951026;;;;;;;Original OSM;239.6;-0.75
Routenpunkt (Way);T;Unbekannt;49.480806;8.795058299999999;;;;;;;Interpoliert;239.4;-1.53
Routenpunkt (Way);T;Unbekannt;49.4806947;8.795014;;;;;;;Interpoliert;239.2;-1.56
