Typ;Name;Latitude;Longitude;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details
Haltestelle;Darmstadt Luisenplatz;49.872883;8.651256;04:50:00;04:50:00;Kein Umlauf;Sa;881;Stop Seq 0
Haltestelle;Darmstadt Schloss;49.872868;8.655235;04:52:00;04:52:00;Kein Umlauf;Sa;881;Stop Seq 1
Haltestelle;Darmstadt Pützerstraße;49.87529;8.662563;04:54:00;04:54:00;Kein Umlauf;Sa;881;Stop Seq 2
Haltestelle;Darmstadt Alice-Hospital;49.87721;8.66337;04:55:00;04:55:00;Kein Umlauf;Sa;881;Stop Seq 3
Haltestelle;Darmstadt Mathildenhöhe;49.878677;8.667047;04:56:00;04:56:00;Kein Umlauf;Sa;881;Stop Seq 4
Haltestelle;Darmstadt Spessartring;49.879395;8.670701;04:57:00;04:57:00;Kein Umlauf;Sa;881;Stop Seq 5
Haltestelle;Darmstadt Regerweg;49.881638;8.677587;04:58:00;04:58:00;Kein Umlauf;Sa;881;Stop Seq 6
Haltestelle;Darmstadt Fasanerie;49.88413;8.685279;04:59:00;04:59:00;Kein Umlauf;Sa;881;Stop Seq 7
Haltestelle;Darmstadt Oberwaldhaus;49.89065;8.696829;05:01:00;05:01:00;Kein Umlauf;Sa;881;Stop Seq 8
Haltestelle;Darmstadt Grube Prinz v. Hessen;49.903564;8.734444;05:04:00;05:04:00;Kein Umlauf;Sa;881;Stop Seq 9
Haltestelle;Darmstadt Einsiedel;49.905582;8.744915;05:05:00;05:05:00;Kein Umlauf;Sa;881;Stop Seq 10
Haltestelle;Messel Grube Messel Besucherz.;49.909973;8.75021;05:06:00;05:06:00;Kein Umlauf;Sa;881;Stop Seq 11
Haltestelle;Messel Gru. Messel Am Wildpark;49.91938;8.746862;05:08:00;05:08:00;Kein Umlauf;Sa;881;Stop Seq 12
Haltestelle;Messel Bahnhof;49.921913;8.745762;05:08:00;05:09:00;Kein Umlauf;Sa;881;Stop Seq 13
Haltestelle;Messel Sudetenstraße;49.931484;8.743539;05:11:00;05:11:00;Kein Umlauf;Sa;881;Stop Seq 14
Haltestelle;Messel Rathaus;49.9368;8.744166;05:13:00;05:13:00;Kein Umlauf;Sa;881;Stop Seq 15
Haltestelle;Messel Am Mörsbach;49.940536;8.744077;05:17:00;05:17:00;Kein Umlauf;Sa;881;Stop Seq 16
