Typ;Type;Name;Latitude;Longitude;Tempolimit;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details;Altitude (m);Roadgrade (%);Surface;Highway_Type;OSM_Name
Routenpunkt (Way);T;Am Mörsbach;49.940542;8.744024;30.0;;;;;;Interpoliert;172.0;0.0;asphalt;residential;Am Mörsbach
Haltestelle;W;Messel Am Mörsbach;49.940542;8.744024;30.0;07:02:00;07:02:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446.0;Original GTFS (Snap-Distanz 23m) | Auf Route gesnappt (3m);172.0;0.31;asphalt;residential;Am Mörsbach
Routenpunkt (Way);T;Am Mörsbach;49.9405;8.74415;30.0;;;;;;Interpoliert;172.0;0.38;asphalt;residential;Am Mörsbach
Routenpunkt (Way);T;Am Mörsbach;49.940459;8.744275;30.0;;;;;;Original OSM;172.12;0.49;asphalt;residential;Am Mörsbach
Routenpunkt (Way);T;Am Mörsbach;49.940439;8.744478;30.0;;;;;;Interpoliert;172.22;0.62;asphalt;residential;Am Mörsbach
Routenpunkt (Way);T;Am Mörsbach;49.940418;8.744682;30.0;;;;;;Interpoliert;172.3;0.49;asphalt;residential;Am Mörsbach
Routenpunkt (Way);T;Am Mörsbach;49.940398;8.744885;30.0;;;;;;Interpoliert;172.4;0.09;asphalt;residential;Am Mörsbach
Routenpunkt (Way);T;Am Mörsbach;49.940378;8.745089;30.0;;;;;;Original OSM;172.3;-0.18;asphalt;residential;Am Mörsbach
Routenpunkt (Way);T;Am Mörsbach;49.940357;8.74528;30.0;;;;;;Interpoliert;172.2;-0.43;asphalt;residential;Am Mörsbach
Routenpunkt (Way);T;Am Mörsbach;49.940336;8.745471;30.0;;;;;;Interpoliert;172.1;-0.71;asphalt;residential;Am Mörsbach
Routenpunkt (Way);T;Am Mörsbach;49.940315;8.745662;30.0;;;;;;Interpoliert;172.0;-0.58;asphalt;residential;Am Mörsbach
Routenpunkt (Way);T;Am Mörsbach;49.940294;8.745853;30.0;;;;;;Interpoliert;171.9;-0.67;asphalt;residential;Am Mörsbach
Routenpunkt (Way);T;Am Mörsbach;49.940272;8.746045;30.0;;;;;;Original OSM;171.9;-0.77;asphalt;residential;Am Mörsbach
Routenpunkt (Way);T;;49.94022;8.746127;30.0;;;;;;Interpoliert (15m);171.8;-0.82;asphalt;residential;Am Mörsbach
Routenpunkt (Way);T;Am Mörsbach;49.940168;8.74621;30.0;;;;;;Original OSM;171.7;-0.87;asphalt;residential;Am Mörsbach
Routenpunkt (Way);T;;49.940076;8.746196;30.0;;;;;;Interpoliert (15m);171.6;-0.7;asphalt;residential;Am Mörsbach
Routenpunkt (Way);T;Am Mörsbach;49.939983;8.746182;30.0;;;;;;Interpoliert;171.5;-0.29;asphalt;residential;Am Mörsbach
Routenpunkt (Way);T;Am Mörsbach;49.939876;8.746166;30.0;;;;;;Interpoliert;171.6;0.11;asphalt;residential;Am Mörsbach
Routenpunkt (Way);T;Am Mörsbach;49.939768;8.746151;30.0;;;;;;Interpoliert;171.7;0.47;asphalt;residential;Am Mörsbach
Routenpunkt (Way);T;Am Mörsbach;49.939661;8.746136;30.0;;;;;;Interpoliert;171.8;0.82;asphalt;residential;Am Mörsbach
Routenpunkt (Way);T;Am Mörsbach;49.939554;8.746121;30.0;;;;;;Original OSM;171.9;0.65;asphalt;residential;Am Mörsbach
Routenpunkt (Way);T;Am Mörsbach;49.939435;8.746103;30.0;;;;;;Interpoliert;172.0;0.49;asphalt;residential;Am Mörsbach
Routenpunkt (Way);T;Am Mörsbach;49.939317;8.746086;30.0;;;;;;Interpoliert;172.0;0.32;asphalt;residential;Am Mörsbach
Routenpunkt (Way);T;Am Mörsbach;49.939199;8.746069;30.0;;;;;;Interpoliert;172.0;0.15;asphalt;residential;Am Mörsbach
