Typ;Type;Name;Latitude;Longitude;Tempolimit;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details;Altitude (m);Roadgrade (%);Surface;Highway_Type;OSM_Name
Routenpunkt (Way);A;Speyerer Straße (Ampel);49.398109;8.673704;50.0;;;;;;Original OSM;111.0;0.0;asphalt;primary;Speyerer Straße
Haltestelle;W;Leimen, Friedhof;49.398109;8.673704;50.0;20:31:00;20:31:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;139.0;Original GTFS (Snap-Distanz 6274m) | Auf Route gesnappt (6254m);111.0;0.0;asphalt;primary;Speyerer Straße
Haltestelle;W;Leimen, Moltkestraße;49.398109;8.673704;50.0;20:32:00;20:32:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;139.0;Original GTFS (Snap-Distanz 6009m) | Auf Route gesnappt (6009m);111.0;0.0;asphalt;primary;Speyerer Straße
Haltestelle;W;Leimen, Kurpfalz-Centrum;49.398109;8.673704;50.0;20:33:00;20:33:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;139.0;Original GTFS (Snap-Distanz 5673m) | Auf Route gesnappt (5673m);111.0;0.0;asphalt;primary;Speyerer Straße
Haltestelle;W;Leimen, Georgi-Marktplatz;49.398109;8.673704;50.0;20:34:00;20:34:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;139.0;Original GTFS (Snap-Distanz 5527m) | Auf Route gesnappt (5527m);111.0;0.0;asphalt;primary;Speyerer Straße
Haltestelle;W;Leimen, Johannes-Reidel-Straße;49.398109;8.673704;50.0;20:36:00;20:36:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;139.0;Original GTFS (Snap-Distanz 5074m) | Auf Route gesnappt (5074m);111.0;0.0;asphalt;primary;Speyerer Straße
Haltestelle;W;Leimen, Zementwerk;49.398109;8.673704;50.0;20:37:00;20:37:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;139.0;Original GTFS (Snap-Distanz 4654m) | Auf Route gesnappt (4654m);111.0;0.0;asphalt;primary;Speyerer Straße
Haltestelle;W;Rohrbach, Süd;49.398109;8.673704;50.0;20:39:00;20:39:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;139.0;Original GTFS (Snap-Distanz 3748m) | Auf Route gesnappt (3748m);111.0;0.0;asphalt;primary;Speyerer Straße
Haltestelle;W;Rohrbach, Freiburger Straße;49.398109;8.673704;50.0;20:41:00;20:41:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;139.0;Original GTFS (Snap-Distanz 2905m) | Auf Route gesnappt (2905m);111.0;0.0;asphalt;primary;Speyerer Straße
Haltestelle;W;Rohrbach, Ortenauer Straße;49.398109;8.673704;50.0;20:43:00;20:43:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;139.0;Original GTFS (Snap-Distanz 2580m) | Auf Route gesnappt (2580m);111.0;0.0;asphalt;primary;Speyerer Straße
Haltestelle;W;Rohrbach, Markt;49.398109;8.673704;50.0;20:44:00;20:44:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;139.0;Original GTFS (Snap-Distanz 2221m) | Auf Route gesnappt (2221m);111.0;-0.17;asphalt;primary;Speyerer Straße
Haltestelle;W;Rohrbach, Eichendorffplatz;49.398109;8.673704;50.0;20:45:00;20:45:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;139.0;Original GTFS (Snap-Distanz 2043m) | Auf Route gesnappt (2043m);110.9;-0.43;asphalt;primary;Speyerer Straße
Routenpunkt (Way);T;Speyerer Straße;49.398176;8.673827;50.0;;;;;;Original OSM;110.8;-0.58;asphalt;primary;Speyerer Straße
Ampel;A;Ampel;49.398222;8.673908;50.0;;;;;;Original OSM;110.7;-0.75;asphalt;primary;Speyerer Straße
Routenpunkt (Way);T;Speyerer Straße;49.398294;8.674046;50.0;;;;;;Interpoliert;110.6;-0.91;asphalt;primary;Speyerer Straße
Routenpunkt (Way);T;;49.398364;8.674176;50.0;;;;;;Interpoliert (15m);110.5;-0.91;asphalt;primary;Speyerer Straße
Routenpunkt (Way);T;;49.398433;8.674306;50.0;;;;;;Interpoliert (15m);110.4;-0.27;asphalt;primary;Speyerer Straße
Routenpunkt (Way);T;Speyerer Straße;49.398503;8.674436;50.0;;;;;;Original OSM;110.3;0.27;asphalt;primary;Speyerer Straße
Routenpunkt (Way);T;;49.398561;8.674549;50.0;;;;;;Interpoliert (15m);110.5;0.82;asphalt;primary;Speyerer Straße
Routenpunkt (Way);T;;49.39862;8.674662;50.0;;;;;;Interpoliert (15m);110.7;1.39;asphalt;primary;Speyerer Straße
Routenpunkt (Way);T;Speyerer Straße;49.398679;8.674775;50.0;;;;;;Interpoliert;110.9;2.11;asphalt;primary;Speyerer Straße
Routenpunkt (Way);T;Speyerer Straße;49.398762;8.674934;50.0;;;;;;Original OSM;111.2;2.28;asphalt;primary;Speyerer Straße
Routenpunkt (Way);T;Speyerer Straße;49.39882;8.675053;50.0;;;;;;Interpoliert;111.5;2.83;asphalt;primary;Speyerer Straße
